id,name,latitude,longitude,elevation
ARM00087395,"COMODORO PIERRESTEGUI, AR",-31.297,-57.997,34.1
ARM00087416,"SAN MARTIN, AR",-33.083,-68.417,653.0
ARM00087420,"MENDOZA OBSERVATORIO, AR",-32.883,-68.85,827.0
ARM00087436,"SAN LUIS, AR",-33.273,-66.356,709.9
ARM00087448,"VILLA REYNOLDS, AR",-33.73,-65.387,484.9
ARM00087453,"RIO CUARTO AREA DE MATERIAL, AR",-33.085,-64.261,420.9
ARM00087467,"MARCOS JUAREZ, AR",-32.684,-62.158,110.0
ARM00087480,"ROSARIO, AR",-32.904,-60.785,25.9
ARM00087497,"GUALEGUAYCHU, AR",-33.01,-58.613,22.9
ARM00087506,"MALARGUE, AR",-35.494,-69.574,1430.1
ARM00087509,"SAN RAFAEL, AR",-34.588,-68.403,752.9
ARM00087532,"GENERAL PICO, AR",-35.696,-63.758,139.9
ARM00087548,"JUNIN, AR",-34.546,-60.931,79.9
ARM00087550,"NUEVE DE JULIO, AR",-35.45,-60.883,76.0
ARM00087563,"LAS FLORES, AR",-36.067,-59.1,38.0
ARM00087576,"MINISTRO PISTARINI, AR",-34.822,-58.536,20.4
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5
ARM00087593,"LA PLATA, AR",-34.972,-57.895,21.9
ARM00087596,"PUNTA INDIO B.A., AR",-35.367,-57.283,22.0
ARM00087637,"CORONEL SUAREZ AERO, AR",-37.433,-61.883,233.0
ARM00087640,"BOLIVAR AERO, AR",-36.2,-61.067,94.0
ARM00087641,"AZUL AERO, AR",-36.833,-59.883,147.0
ARM00087643,"OLAVARRIA AERO, AR",-36.883,-60.217,166.0
ARM00087645,"TANDIL, AR",-37.237,-59.228,175.0
ARM00087648,"DOLORES AIRPORT, AR",-36.35,-57.733,9.0
ARM00087679,"PIGUE AIRPORT, AR",-37.6,-62.383,304.0
ARM00087688,"TRES ARROYOS, AR",-38.387,-60.33,121.9
ARM00087765,"SAN CARLOS DE BARILOCHE, AR",-41.151,-71.158,846.1
ARM00087774,"MAQUINCHAO, AR",-41.25,-68.733,888.0
ARM00087784,"SAN ANTONIO OESTE AERO, AR",-40.783,-65.1,20.0
ARM00087791,"GOBERNADOR CASTELLO, AR",-40.869,-63.0,6.1
ARM00087800,"EL BOLSON, AR",-41.943,-71.532,344.7
ARM00087814,"PASO DE INDIOS, AR",-43.817,-68.883,460.0
ARM00087852,"PERITO MORENO AIRPORT, AR",-46.517,-71.017,429.0
ARM00087896,"PUERTO DESEADO, AR",-47.735,-65.904,81.1
ARM00087904,"EL CALAFATE AERO, AR",-50.267,-72.05,204.0
ARM00087909,"SAN JULIAN, AR",-49.307,-67.803,57.9
ARM00087934,"RIO GRANDE, AR",-53.778,-67.749,19.8
ARM00087938,"USHUAIA MALVINAS ARGENTINAS, AR",-54.843,-68.296,21.6
ASM00094299,"WILLIS ISLAND, AS",-16.288,149.965,9.0
ASM00094995,"LORD HOWE ISLAND AERO, AS",-31.542,159.079,7.0
ASM00094998,"MACQUARIE ISLAND, AS",-54.499,158.937,8.3
ASN00001006,"WYNDHAM AERO, AS",-15.51,128.1503,3.8
ASN00001007,"TROUGHTON ISLAND, AS",-13.7542,126.1485,6.0
ASN00001010,"THEDA, AS",-14.7883,126.4964,210.0
ASN00001019,"KALUMBURU, AS",-14.2964,126.6453,23.0
ASN00001020,"TRUSCOTT, AS",-14.09,126.3867,51.0
ASN00001025,"DOONGAN, AS",-15.3797,126.3114,385.0
ASN00001026,"DRYSDALE RIVER STATION, AS",-15.7025,126.3786,370.0
ASN00001035,"PARRY CREEK FARM, AS",-15.5969,128.2781,20.0
ASN00002009,"GIBB RIVER, AS",-16.4203,126.4411,488.0
ASN00002012,"HALLS CREEK AIRPORT, AS",-18.2292,127.6636,422.0
ASN00002021,"MOUNT AMHURST, AS",-18.3869,126.9892,300.0
ASN00002022,"MOUNT WINIFRED, AS",-18.016,126.3033,180.0
ASN00002030,"YULMBU, AS",-17.2964,126.915,450.0
ASN00002032,"WARMUN, AS",-17.0156,128.2175,203.0
ASN00002036,"OLD MORNINGTON HOMESTEAD, AS",-17.3922,126.2306,280.0
ASN00002043,"MOUNT KRAUSS, AS",-18.3368,126.1243,160.0
ASN00002051,"BILLILUNA, AS",-19.5561,127.6644,305.0
ASN00002053,"LANSDOWNE, AS",-17.6133,126.7442,400.0
ASN00002056,"KUNUNURRA AERO, AS",-15.7814,128.71,44.0
ASN00002064,"ARGYLE AERODROME, AS",-16.6381,128.4517,164.0
ASN00003003,"BROOME AIRPORT, AS",-17.9475,122.2353,7.4
ASN00003019,"NAPIER DOWNS, AS",-17.3306,124.8167,80.0
ASN00003024,"UDIALLA, AS",-17.9464,123.7383,20.0
ASN00003030,"BIDYADANGA, AS",-18.6844,121.7803,11.0
ASN00003032,"DERBY AERO, AS",-17.3706,123.6611,6.2
ASN00003051,"MOUNT BARNETT, AS",-16.7372,125.9086,401.0
ASN00003057,"CYGNET BAY, AS",-16.4514,123.0086,7.0
ASN00003080,"CURTIN AERO, AS",-17.5736,123.8217,77.5
ASN00003084,"DERBY MANNING RD, AS",-17.3436,123.6781,10.0
ASN00003090,"DEBESA, AS",-17.7981,124.0772,100.0
ASN00003093,"FITZROY CROSSING AERO, AS",-18.1814,125.5619,114.5
ASN00003098,"MOUNT HOUSE AIRSTRIP, AS",-17.0549,125.7108,270.0
ASN00004019,"MANDORA, AS",-19.7419,120.8436,7.5
ASN00004032,"PORT HEDLAND AIRPORT, AS",-20.3725,118.6317,6.4
ASN00004083,"KARRATHA AERO, AS",-20.7097,116.7742,7.0
ASN00004090,"ROEBOURNE AERO, AS",-20.7594,117.1583,10.7
ASN00004102,"MEENTHEENA, AS",-21.2933,120.4658,220.0
ASN00004106,"MARBLE BAR, AS",-21.1756,119.7497,182.3
ASN00005007,"LEARMONTH AIRPORT, AS",-22.2406,114.0967,5.0
ASN00005008,"MARDIE, AS",-21.1906,115.9797,11.0
ASN00005012,"MILLSTREAM, AS",-21.5906,117.0656,300.0
ASN00005017,"ONSLOW AIRPORT, AS",-21.6689,115.1092,10.5
ASN00005029,"YALLEEN, AS",-21.6767,116.3928,180.0
ASN00005051,"EXMOUTH TOWN, AS",-21.9303,114.1256,13.0
ASN00005084,"THEVENARD ISLAND, AS",-21.4606,115.0197,5.0
ASN00005094,"BARROW ISLAND AIRPORT, AS",-20.875,115.4056,6.4
ASN00006011,"CARNARVON AIRPORT, AS",-24.8878,113.67,4.0
ASN00006020,"EDAGGEE, AS",-25.36,114.2292,30.0
ASN00006044,"DENHAM, AS",-25.9261,113.5319,9.0
ASN00006055,"WOOLGORONG, AS",-27.7458,115.8286,300.0
ASN00006072,"EMU CREEK STATION, AS",-23.0314,115.0414,111.0
ASN00006099,"MURCHISON, AS",-26.8936,115.9561,287.0
ASN00006105,"SHARK BAY AIRPORT, AS",-25.8925,113.5772,33.8
ASN00007008,"BRYAH, AS",-25.5067,118.7933,550.0
ASN00007045,"MEEKATHARRA AIRPORT, AS",-26.6136,118.5372,517.0
ASN00007139,"PAYNES FIND, AS",-29.2708,117.6836,339.0
ASN00007176,"NEWMAN AERO, AS",-23.4169,119.7989,524.0
ASN00007185,"PARABURDOO AERO, AS",-23.1725,117.7494,423.7
ASN00007600,"MOUNT MAGNET AERO, AS",-28.1156,117.8425,407.0
ASN00008005,"BARBERTON, AS",-30.7294,116.02,200.0
ASN00008008,"BERKSHIRE VALLEY, AS",-30.5831,116.135,230.0
ASN00008014,"DALWALLINU NORTH, AS",-30.2192,116.7783,300.0
ASN00008022,"BALGERBINE, AS",-30.2911,116.3306,300.0
ASN00008025,"CARNAMAH, AS",-29.6889,115.8869,268.0
ASN00008028,"NABAWA, AS",-28.5008,114.7897,145.0
ASN00008037,"COOROW, AS",-29.8819,116.0233,280.0
ASN00008039,"DALWALLINU COMPARISON, AS",-30.2772,116.6619,335.0
ASN00008050,"GERALDTON TOWN, AS",-28.7769,114.605,3.0
ASN00008051,"GERALDTON AIRPORT, AS",-28.7953,114.6975,33.0
ASN00008057,"GREEN GROVE, AS",-29.5486,115.0689,30.0
ASN00008060,"SOUTH HOLMWOOD, AS",-29.0364,115.5536,240.0
ASN00008065,"ISSEKA, AS",-28.4292,114.6542,180.0
ASN00008072,"LATHAM, AS",-29.7586,116.4444,290.0
ASN00008079,"MANARRA, AS",-29.0711,115.6261,260.0
ASN00008087,"MINDALLA, AS",-30.4228,116.4583,300.0
ASN00008088,"MINGENEW, AS",-29.1906,115.4414,153.0
ASN00008095,"MULLEWA, AS",-28.5367,115.5142,268.0
ASN00008100,"NORTHAMPTON, AS",-28.3456,114.6367,180.0
ASN00008113,"RIVERSIDE, AS",-27.8325,114.7364,200.0
ASN00008121,"THREE SPRINGS, AS",-29.5339,115.7628,249.0
ASN00008137,"WONGAN HILLS, AS",-30.8917,116.7186,283.0
ASN00008143,"YANDANOOKA, AS",-29.2872,115.6331,210.0
ASN00008157,"CANNA, AS",-28.8978,115.8628,340.0
ASN00008168,"HOWATHARRA, AS",-28.5467,114.6244,70.0
ASN00008202,"BINDI BINDI NORTH, AS",-30.6219,116.3794,300.0
ASN00008230,"ELENA, AS",-30.3817,116.7217,290.0
ASN00008237,"TENINDEWA, AS",-28.6857,115.2806,260.0
ASN00008238,"HAKEA, AS",-30.0989,116.2339,350.0
ASN00008240,"COOLANGATTA, AS",-28.8939,115.4539,244.0
ASN00008251,"KALBARRI, AS",-27.7119,114.165,6.0
ASN00008254,"KONDUT, AS",-30.7092,116.7744,280.0
ASN00008264,"WANARRA, AS",-29.5147,116.8011,290.0
ASN00008271,"NINDETHANA FARM, AS",-28.8114,115.9675,340.0
ASN00008273,"ARENA, AS",-29.3586,115.4503,280.0
ASN00008274,"NARALING, AS",-28.4194,114.8186,200.0
ASN00008283,"KARAWA, AS",-30.1453,116.3844,320.0
ASN00008286,"WUNDI, AS",-28.275,114.6761,200.0
ASN00008288,"GHURKA, AS",-28.2575,114.6033,200.0
ASN00008290,"NORTH ISLAND, AS",-28.3008,113.5936,2.2
ASN00008295,"STRAWBERRY, AS",-29.2094,115.2628,105.0
ASN00008296,"MORAWA AIRPORT, AS",-29.2039,116.0247,271.4
ASN00008297,"DALWALLINU, AS",-30.2761,116.6714,324.5
ASN00008298,"TIBRADDEN, AS",-28.7597,114.937,265.0
ASN00008299,"ARRADALE, AS",-29.1103,115.3173,270.0
ASN00008300,"TABLETOP, AS",-29.0692,115.0915,240.0
ASN00008304,"MOASCAR, AS",-28.9571,114.9492,254.0
ASN00008305,"PORT DENISON, AS",-29.2778,114.9464,20.0
ASN00008307,"COOLANGATTA ALERT, AS",-28.89,115.4397,260.0
ASN00008308,"TARDUN HILL, AS",-28.8,115.76,340.0
ASN00008309,"BELLENDAINE, AS",-29.3,115.6597,240.0
ASN00008310,"SOUTH HOLMWOOD ALERT, AS",-29.0291,115.5548,260.0
ASN00009000,"ARALUEN, AS",-32.1247,116.1025,130.0
ASN00009007,"CHIDLOW, AS",-31.8622,116.2658,300.0
ASN00009009,"LOWER CHITTERING, AS",-31.605,116.1114,100.0
ASN00009015,"KARRAGULLEN NORTH, AS",-32.0892,116.125,330.0
ASN00009018,"GINGIN, AS",-31.3461,115.9031,92.0
ASN00009021,"PERTH AIRPORT, AS",-31.9275,115.9764,15.4
ASN00009023,"JARRAHDALE, AS",-32.3342,116.0755,240.0
ASN00009024,"MARBLING, AS",-31.5608,116.0842,150.0
ASN00009030,"MUNDARING, AS",-31.8972,116.1575,300.0
ASN00009033,"NEW NORCIA, AS",-30.9719,116.2089,220.0
ASN00009037,"BADGINGARRA RESEARCH STATION, AS",-30.3381,115.5394,275.0
ASN00009039,"SERPENTINE, AS",-32.3536,116.005,120.0
ASN00009040,"WANNAMAL, AS",-31.1428,116.0539,170.0
ASN00009053,"PEARCE RAAF, AS",-31.6669,116.0189,40.0
ASN00009066,"GIDGEGANNUP, AS",-31.7908,116.1975,290.0
ASN00009105,"WANNEROO, AS",-31.7317,115.7931,30.0
ASN00009111,"KARNET, AS",-32.44,116.0744,286.0
ASN00009112,"BINDOON, AS",-31.3928,116.0875,160.0
ASN00009113,"ROLEYSTONE, AS",-32.1108,116.0953,250.0
ASN00009131,"JURIEN BAY, AS",-30.3081,115.0311,1.6
ASN00009172,"JANDAKOT AERO, AS",-32.1011,115.8794,30.0
ASN00009178,"GINGIN AERO, AS",-31.4628,115.8642,73.0
ASN00009182,"MAIDA VALE, AS",-31.9544,116.0014,25.0
ASN00009193,"ROTTNEST ISLAND, AS",-32.0069,115.5022,43.1
ASN00009199,"LEEMAN, AS",-29.9486,114.9781,2.0
ASN00009207,"PICKERING BROOK NORTH, AS",-32.0208,116.1167,220.0
ASN00009210,"LAKE NAMMEN, AS",-30.8928,115.5789,70.0
ASN00009215,"SWANBOURNE, AS",-31.9558,115.7619,41.0
ASN00009225,"PERTH METRO, AS",-31.9192,115.8728,24.9
ASN00009240,"BICKLEY, AS",-32.0056,116.1364,384.0
ASN00009243,"WOODRIDGE ESTATE, AS",-31.335,115.5722,30.0
ASN00009248,"MOONDAH BROOK, AS",-31.332,115.9513,113.0
ASN00009256,"GARDEN ISLAND HSF, AS",-32.2433,115.6839,6.0
ASN00009257,"FORRESTDALE, AS",-32.1569,115.9275,20.0
ASN00009258,"ANKETELL, AS",-32.2156,115.8758,18.0
ASN00009260,"MOUNT SOLUS, AS",-32.4697,116.2143,574.0
ASN00009264,"TAMALA PARK MINDARIE, AS",-31.7078,115.7242,20.0
ASN00009276,"NAMBUNG STATION, AS",-30.5744,115.2231,42.0
ASN00009500,"ALBANY, AS",-35.0289,117.8808,3.0
ASN00009507,"BANNISTER, AS",-32.6836,116.5194,350.0
ASN00009513,"BRUNSWICK JUNCTION, AS",-33.2136,115.85,30.0
ASN00009515,"BUSSELTON SHIRE, AS",-33.6611,115.3456,4.0
ASN00009518,"CAPE LEEUWIN, AS",-34.3728,115.1358,13.0
ASN00009519,"CAPE NATURALISTE, AS",-33.5372,115.0189,109.0
ASN00009527,"DARDANUP EAST, AS",-33.3969,115.7833,40.0
ASN00009534,"DONNYBROOK, AS",-33.5719,115.8247,63.0
ASN00009538,"DWELLINGUP, AS",-32.7103,116.0594,267.0
ASN00009542,"ESPERANCE AERO, AS",-33.6825,121.8275,142.0
ASN00009547,"FOREST GROVE, AS",-34.0717,115.0986,60.0
ASN00009557,"HOPETOUN, AS",-33.9497,120.1258,15.0
ASN00009561,"KENDENUP, AS",-34.4878,117.6278,262.0
ASN00009573,"MANJIMUP, AS",-34.2508,116.145,286.7
ASN00009575,"MARRADONG, AS",-32.8556,116.45,250.0
ASN00009579,"OAKE MARSH FARM, AS",-33.7633,122.0675,60.0
ASN00009584,"MYRUP, AS",-33.7422,121.995,60.0
ASN00009585,"NANNUP, AS",-33.9797,115.7656,100.0
ASN00009587,"NEWBICUP, AS",-33.9967,116.4253,240.0
ASN00009589,"NORNALUP, AS",-34.9919,116.8206,60.0
ASN00009592,"PEMBERTON, AS",-34.4478,116.0433,174.0
ASN00009600,"ROSA BROOK, AS",-33.9525,115.1969,90.0
ASN00009603,"BUSSELTON AERO, AS",-33.6858,115.4008,16.3
ASN00009605,"TENTERDEN POST OFFICE, AS",-34.3667,117.55,289.0
ASN00009611,"WALPOLE, AS",-34.9761,116.7328,20.0
ASN00009613,"WARNER GLEN, AS",-34.1436,115.2261,30.0
ASN00009616,"WESTBOURNE, AS",-34.0911,116.6628,280.0
ASN00009617,"BRIDGETOWN, AS",-33.9486,116.1311,178.7
ASN00009619,"WILGARRUP, AS",-34.1519,116.2042,240.0
ASN00009626,"PLEASANT VALLEY, AS",-33.7106,121.5619,60.0
ASN00009628,"COLLIE, AS",-33.36,116.1467,204.0
ASN00009629,"MARRIWOOD, AS",-33.4464,115.7308,30.0
ASN00009633,"TAMAR, AS",-34.8644,118.1122,90.0
ASN00009635,"FRANKLAND, AS",-34.3633,117.0836,230.0
ASN00009636,"COWARAMUP, AS",-33.8358,115.0747,120.0
ASN00009647,"WEREROA, AS",-34.9506,117.2769,140.0
ASN00009678,"REDMOND, AS",-34.8772,117.6725,93.0
ASN00009692,"BIDELLIA, AS",-34.2258,115.7622,77.0
ASN00009710,"INNADONG, AS",-33.3,115.8,
ASN00009739,"TELINA DOWNS, AS",-33.6789,122.3311,170.0
ASN00009741,"ALBANY AIRPORT, AS",-34.9414,117.8022,68.0
ASN00009752,"DENBARKER, AS",-34.7233,117.3494,205.0
ASN00009754,"METTLER, AS",-34.5961,118.5519,120.0
ASN00009769,"CULFORD, AS",-32.5698,116.4385,335.0
ASN00009771,"YOONGARILLUP, AS",-33.7411,115.4697,60.0
ASN00009772,"ERINAIR, AS",-33.7608,121.2156,60.0
ASN00009776,"ASTON DOWNS ALERT, AS",-33.7931,115.3189,80.0
ASN00009784,"KIMBERLEY, AS",-34.9319,117.1606,80.0
ASN00009789,"ESPERANCE, AS",-33.83,121.8925,25.0
ASN00009801,"ALEXANDRA BRIDGE, AS",-34.1597,115.1892,20.0
ASN00009804,"ADINA, AS",-33.8811,122.2167,60.0
ASN00009805,"WALPOLE FORESTRY, AS",-34.9769,116.7286,15.0
ASN00009813,"MOUNT HOWICK, AS",-33.7297,122.755,110.0
ASN00009815,"THE DUKE, AS",-33.8819,122.5661,61.0
ASN00009822,"DALYUP PARK, AS",-33.7753,121.555,30.0
ASN00009831,"UPPER KING RIVER, AS",-34.9267,117.8731,30.0
ASN00009842,"JARRAHWOOD, AS",-33.7964,115.6658,130.0
ASN00009850,"CARBARUP, AS",-34.5378,117.7197,245.0
ASN00009852,"CHEYNE BEACH, AS",-34.8883,118.3958,60.0
ASN00009865,"WARRA JARRA, AS",-34.3997,118.8867,90.0
ASN00009868,"MUNGLINUP, AS",-33.7078,120.8653,80.0
ASN00009871,"WINDY HARBOUR, AS",-34.8361,116.0308,4.5
ASN00009877,"LUDLOW, AS",-33.6033,115.4983,15.0
ASN00009891,"PINJARRA REFINERY, AS",-32.64,115.9461,45.0
ASN00009897,"CAPE ARID NATIONAL PARK, AS",-33.8536,123.0069,70.0
ASN00009899,"KARRALEA, AS",-34.8883,118.0789,80.0
ASN00009904,"WALTERS FARM, AS",-34.5967,116.1072,90.0
ASN00009908,"ONE TREE BRIDGE HAZELMERE, AS",-34.2292,115.9294,200.0
ASN00009909,"ASTON DOWNS, AS",-33.7914,115.3189,80.0
ASN00009912,"FERGUSON VALLEY, AS",-33.445,115.8508,120.0
ASN00009917,"PERIVALE ORCHARD, AS",-33.7058,115.7878,100.0
ASN00009923,"WORSLEY DOWNS, AS",-33.3169,115.9892,240.0
ASN00009927,"THE WOLD LOWDEN, AS",-33.6028,116.0128,220.0
ASN00009928,"VERMEULEN, AS",-34.8389,116.7211,180.0
ASN00009936,"HUNTLY, AS",-32.6239,116.0603,320.0
ASN00009957,"PEACEFUL BAY, AS",-35.0367,116.9247,10.0
ASN00009958,"KARRIVALE, AS",-34.6625,117.8394,322.0
ASN00009961,"HOPETOUN NORTH, AS",-33.9306,120.1283,26.0
ASN00009964,"ROCKY GULLY, AS",-34.5714,117.0106,250.0
ASN00009965,"BUNBURY, AS",-33.3567,115.6447,5.2
ASN00009967,"NARRIKUP WEST, AS",-34.7772,117.6508,130.0
ASN00009968,"SHANNON, AS",-34.5683,116.3367,210.0
ASN00009971,"ACTON PARK, AS",-33.7844,115.4075,120.0
ASN00009976,"PINJARRA SOUTH, AS",-32.6453,115.8644,13.0
