locationid,locationcategoryid
CITY:CH000042,CITY
CITY:CH000043,CITY
CITY:CH000044,CITY
CITY:CH000045,CITY
CITY:CI000001,CITY
CITY:CI000002,CITY
CITY:CI000003,CITY
CITY:CI000004,CITY
CITY:CI000006,CITY
CITY:CI000007,CITY
CITY:CI000008,CITY
CITY:CI000009,CITY
CITY:CI000011,CITY
CITY:CM000003,CITY
CITY:CM000004,CITY
CITY:CM000006,CITY
CITY:CM000007,CITY
CITY:CM000008,CITY
CITY:CO000001,CITY
CITY:CO000002,CITY
CITY:CO000003,CITY
CITY:CO000004,CITY
CITY:CO000005,CITY
CITY:CO000006,CITY
CITY:CO000007,CITY
CITY:CO000008,CITY
CITY:CO000010,CITY
CITY:CO000012,CITY
CITY:CO000013,CITY
CITY:CO000014,CITY
CITY:CO000015,CITY
CITY:CO000016,CITY
CITY:CO000017,CITY
CITY:CO000018,CITY
CITY:CO000019,CITY
CITY:CO000020,CITY
CITY:CO000023,CITY
CITY:CO000024,CITY
CITY:CS000001,CITY
CITY:CS000002,CITY
CITY:CT000001,CITY
CITY:CT000002,CITY
CITY:CU000001,CITY
CITY:CU000005,CITY
CITY:CV000001,CITY
CITY:CY000001,CITY
CITY:CY000002,CITY
CITY:DA000001,CITY
CITY:DA000003,CITY
CITY:DR000008,CITY
CITY:DR000009,CITY
CITY:EC000002,CITY
CITY:EC000006,CITY
CITY:EC000008,CITY
CITY:EC000009,CITY
CITY:EG000001,CITY
CITY:EG000002,CITY
CITY:EG000003,CITY
CITY:EG000005,CITY
CITY:EG000007,CITY
CITY:EG000008,CITY
CITY:EG000009,CITY
CITY:EG000010,CITY
CITY:EG000012,CITY
CITY:EI000001,CITY
CITY:EI000002,CITY
CITY:EI000003,CITY
CITY:EK000001,CITY
CITY:EK000002,CITY
CITY:EN000001,CITY
CITY:ER000001,CITY
CITY:ES000001,CITY
CITY:ES000002,CITY
CITY:ES000004,CITY
CITY:ET000001,CITY
CITY:ET000002,CITY
CITY:ET000003,CITY
CITY:ET000004,CITY
CITY:ET000005,CITY
CITY:ET000006,CITY
CITY:ET000007,CITY
CITY:EZ000001,CITY
CITY:EZ000004,CITY
CITY:EZ000006,CITY
CITY:EZ000007,CITY
CITY:FG000001,CITY
CITY:FI000001,CITY
CITY:FI000002,CITY
CITY:FI000003,CITY
CITY:FI000004,CITY
CITY:FI000005,CITY
CITY:FI000006,CITY
CITY:FJ000001,CITY
CITY:FR000001,CITY
CITY:FR000002,CITY
CITY:FR000005,CITY
CITY:FR000006,CITY
CITY:FR000007,CITY
CITY:FR000008,CITY
CITY:FR000010,CITY
CITY:FR000011,CITY
CITY:FR000012,CITY
CITY:FR000013,CITY
CITY:FR000014,CITY
CITY:FR000015,CITY
CITY:FR000016,CITY
CITY:FR000017,CITY
CITY:FR000018,CITY
CITY:FR000019,CITY
CITY:FR000020,CITY
CITY:FR000021,CITY
CITY:FR000022,CITY
CITY:FR000023,CITY
CITY:FR000024,CITY
CITY:GA000001,CITY
CITY:GB000001,CITY
CITY:GB000002,CITY
CITY:GG000001,CITY
CITY:GG000002,CITY
CITY:GG000003,CITY
CITY:GH000001,CITY
CITY:GH000004,CITY
CITY:GH000005,CITY
CITY:GH000006,CITY
CITY:GH000007,CITY
CITY:GH000008,CITY
CITY:GH000009,CITY
CITY:GH000010,CITY
CITY:GM000001,CITY
CITY:GM000002,CITY
CITY:GM000003,CITY
CITY:GM000004,CITY
CITY:GM000005,CITY
CITY:GM000006,CITY
CITY:GM000007,CITY
CITY:GM000008,CITY
CITY:GM000009,CITY
CITY:GM000010,CITY
CITY:GM000011,CITY
CITY:GM000012,CITY
CITY:GM000013,CITY
CITY:GM000014,CITY
CITY:GM000015,CITY
CITY:GM000016,CITY
CITY:GM000017,CITY
CITY:GM000018,CITY
CITY:GM000019,CITY
CITY:GM000020,CITY
CITY:GM000021,CITY
CITY:GM000022,CITY
CITY:GM000023,CITY
CITY:GM000024,CITY
CITY:GR000001,CITY
CITY:GR000002,CITY
CITY:GR000003,CITY
CITY:GR000004,CITY
CITY:GR000006,CITY
CITY:GR000007,CITY
CITY:GT000004,CITY
CITY:GV000001,CITY
CITY:GV000002,CITY
CITY:GV000003,CITY
CITY:GV000004,CITY
CITY:GY000001,CITY
CITY:HO000002,CITY
CITY:HO000003,CITY
CITY:HO000004,CITY
CITY:HR000001,CITY
CITY:HR000002,CITY
CITY:HU000002,CITY
CITY:HU000003,CITY
CITY:HU000008,CITY
CITY:HU000010,CITY
CITY:HU000011,CITY
CITY:HU000014,CITY
CITY:IC000001,CITY
CITY:ID000001,CITY
CITY:ID000002,CITY
CITY:ID000003,CITY
CITY:ID000004,CITY
CITY:ID000006,CITY
CITY:ID000007,CITY
CITY:ID000008,CITY
CITY:ID000009,CITY
CITY:ID000010,CITY
CITY:ID000011,CITY
CITY:ID000012,CITY
CITY:ID000013,CITY
CITY:ID000014,CITY
CITY:ID000015,CITY
CITY:ID000016,CITY
CITY:ID000017,CITY
CITY:ID000018,CITY
CITY:ID000019,CITY
CITY:ID000020,CITY
CITY:ID000021,CITY
CITY:ID000022,CITY
CITY:ID000023,CITY
CITY:IN000001,CITY
CITY:IN000002,CITY
CITY:IN000003,CITY
CITY:IN000004,CITY
CITY:IN000005,CITY
CITY:IN000006,CITY
CITY:IN000007,CITY
CITY:IN000008,CITY
CITY:IN000009,CITY
CITY:IN000010,CITY
CITY:IN000011,CITY
CITY:IN000012,CITY
CITY:IN000013,CITY
CITY:IN000014,CITY
CITY:IN000015,CITY
CITY:IN000016,CITY
CITY:IN000017,CITY
CITY:IN000018,CITY
CITY:IN000019,CITY
CITY:IN000020,CITY
CITY:IN000021,CITY
CITY:IN000022,CITY
CITY:IN000023,CITY
CITY:IN000024,CITY
CITY:IN000025,CITY
CITY:IN000026,CITY
CITY:IN000027,CITY
CITY:IN000028,CITY
CITY:IN000029,CITY
CITY:IN000030,CITY
CITY:IN000031,CITY
CITY:IN000032,CITY
CITY:IN000033,CITY
CITY:IR000001,CITY
CITY:IR000002,CITY
CITY:IR000003,CITY
CITY:IR000004,CITY
CITY:IR000005,CITY
CITY:IR000006,CITY
CITY:IR000007,CITY
CITY:IR000008,CITY
CITY:IR000009,CITY
CITY:IR000010,CITY
CITY:IR000011,CITY
CITY:IR000013,CITY
CITY:IR000014,CITY
CITY:IR000015,CITY
CITY:IR000016,CITY
CITY:IR000017,CITY
CITY:IR000018,CITY
CITY:IR000019,CITY
CITY:IR000020,CITY
CITY:IS000001,CITY
CITY:IS000003,CITY
CITY:IS000005,CITY
CITY:IS000006,CITY
CITY:IT000004,CITY
CITY:IT000005,CITY
CITY:IT000006,CITY
CITY:IT000009,CITY
CITY:IT000010,CITY
CITY:IT000011,CITY
CITY:IT000012,CITY
CITY:IT000015,CITY
CITY:IT000016,CITY
CITY:IT000017,CITY
CITY:IT000018,CITY
CITY:IV000002,CITY
CITY:IV000005,CITY
CITY:IV000007,CITY
CITY:IV000008,CITY
CITY:IV000010,CITY
CITY:IV000012,CITY
CITY:IV000013,CITY
CITY:IV000015,CITY
CITY:IV000016,CITY
CITY:IV000021,CITY
CITY:IZ000003,CITY
CITY:JA000001,CITY
CITY:JA000002,CITY
CITY:JA000003,CITY
CITY:JA000004,CITY
CITY:JA000005,CITY
CITY:JA000006,CITY
CITY:JA000007,CITY
CITY:JA000008,CITY
CITY:JA000009,CITY
CITY:JA000010,CITY
CITY:JA000011,CITY
CITY:JA000012,CITY
CITY:JA000013,CITY
CITY:JA000014,CITY
CITY:JA000015,CITY
CITY:JA000016,CITY
CITY:JA000017,CITY
CITY:JM000001,CITY
CITY:JM000002,CITY
CITY:JM000003,CITY
CITY:JO000001,CITY
CITY:JO000004,CITY
CITY:JO000005,CITY
CITY:KE000003,CITY
CITY:KE000004,CITY
CITY:KG000001,CITY
CITY:KG000002,CITY
CITY:KG000003,CITY
CITY:KN000002,CITY
CITY:KN000004,CITY
CITY:KN000005,CITY
CITY:KN000007,CITY
CITY:KN000009,CITY
CITY:KN000010,CITY
CITY:KS000001,CITY
CITY:KS000002,CITY
CITY:KS000003,CITY
CITY:KS000004,CITY
CITY:KS000005,CITY
CITY:KS000006,CITY
CITY:KS000007,CITY
CITY:KS000008,CITY
CITY:KS000009,CITY
CITY:KS000010,CITY
CITY:KU000001,CITY
CITY:KZ000001,CITY
CITY:KZ000002,CITY
CITY:KZ000003,CITY
CITY:KZ000004,CITY
CITY:KZ000005,CITY
CITY:KZ000006,CITY
CITY:KZ000007,CITY
CITY:KZ000008,CITY
CITY:KZ000009,CITY
CITY:KZ000010,CITY
CITY:KZ000011,CITY
CITY:KZ000012,CITY
CITY:KZ000013,CITY
CITY:KZ000014,CITY
CITY:KZ000015,CITY
CITY:KZ000016,CITY
CITY:KZ000017,CITY
CITY:LA000001,CITY
CITY:LA000002,CITY
CITY:LE000001,CITY
CITY:LE000003,CITY
CITY:LE000004,CITY
CITY:LG000001,CITY
CITY:LH000001,CITY
CITY:LI000001,CITY
CITY:LO000001,CITY
CITY:LO000003,CITY
CITY:LT000001,CITY
CITY:LT000002,CITY
CITY:LU000001,CITY
CITY:LY000001,CITY
CITY:LY000002,CITY
CITY:LY000003,CITY
CITY:LY000004,CITY
CITY:LY000005,CITY
CITY:LY000006,CITY
CITY:MA000001,CITY
CITY:MA000002,CITY
CITY:MA000003,CITY
CITY:MA000004,CITY
CITY:MA000005,CITY
CITY:MA000006,CITY
CITY:MB000001,CITY
CITY:MD000001,CITY
CITY:MF000001,CITY
CITY:MG000002,CITY
CITY:MI000001,CITY
CITY:MI000002,CITY
CITY:MJ000001,CITY
CITY:MK000001,CITY
CITY:ML000001,CITY
CITY:ML000002,CITY
CITY:ML000003,CITY
CITY:ML000004,CITY
CITY:ML000005,CITY
CITY:ML000006,CITY
CITY:MO000002,CITY
CITY:MO000004,CITY
CITY:MO000005,CITY
CITY:MO000006,CITY
CITY:MO000007,CITY
CITY:MP000001,CITY
CITY:MR000001,CITY
CITY:MR000002,CITY
CITY:MU000001,CITY
CITY:MX000001,CITY
CITY:MX000002,CITY
CITY:MX000003,CITY
CITY:MX000004,CITY
CITY:MX000005,CITY
CITY:MX000006,CITY
CITY:MX000007,CITY
CITY:MX000008,CITY
CITY:MX000009,CITY
CITY:MX000010,CITY
CITY:MX000011,CITY
CITY:MX000012,CITY
CITY:MX000013,CITY
CITY:MX000014,CITY
CITY:MX000015,CITY
CITY:MX000016,CITY
CITY:MX000017,CITY
CITY:MX000018,CITY
CITY:MX000019,CITY
CITY:MX000020,CITY
CITY:MX000021,CITY
CITY:MX000022,CITY
CITY:MX000023,CITY
CITY:MX000024,CITY
CITY:MX000025,CITY
CITY:MX000026,CITY
CITY:MX000027,CITY
CITY:MX000028,CITY
CITY:MX000029,CITY
CITY:MX000030,CITY
CITY:MX000031,CITY
CITY:MX000032,CITY
CITY:MX000033,CITY
CITY:MX000034,CITY
CITY:MX000035,CITY
CITY:MX000036,CITY
CITY:MY000003,CITY
CITY:MY000005,CITY
CITY:MY000006,CITY
CITY:MY000007,CITY
CITY:MY000009,CITY
CITY:MY000010,CITY
CITY:MY000011,CITY
CITY:MY000012,CITY
CITY:MY000014,CITY
CITY:MZ000001,CITY
CITY:MZ000002,CITY
CITY:MZ000003,CITY
CITY:MZ000004,CITY
CITY:MZ000005,CITY
CITY:MZ000006,CITY
CITY:MZ000007,CITY
CITY:MZ000008,CITY
CITY:MZ000009,CITY
CITY:MZ000010,CITY
CITY:NG000001,CITY
CITY:NG000002,CITY
CITY:NG000003,CITY
CITY:NG000004,CITY
CITY:NI000011,CITY
CITY:NI000013,CITY
CITY:NI000015,CITY
CITY:NI000017,CITY
CITY:NI000019,CITY
CITY:NI000021,CITY
CITY:NI000022,CITY
CITY:NI000023,CITY
CITY:NI000025,CITY
CITY:NI000028,CITY
CITY:NL000001,CITY
CITY:NL000002,CITY
CITY:NL000003,CITY
CITY:NL000004,CITY
CITY:NL000005,CITY
CITY:NL000006,CITY
CITY:NL000007,CITY
CITY:NL000008,CITY
CITY:NL000009,CITY
CITY:NL000010,CITY
CITY:NL000011,CITY
CITY:NL000012,CITY
CITY:NO000001,CITY
CITY:NO000002,CITY
CITY:NO000003,CITY
CITY:NO000004,CITY
CITY:NO000005,CITY
CITY:NO000006,CITY
CITY:NO000007,CITY
CITY:NP000001,CITY
CITY:NP000002,CITY
CITY:NP000004,CITY
CITY:NT000001,CITY
CITY:NU000001,CITY
CITY:NU000002,CITY
CITY:NU000004,CITY
CITY:NU000005,CITY
CITY:NU000007,CITY
CITY:NU000008,CITY
CITY:NU000009,CITY
CITY:NZ000001,CITY
CITY:NZ000002,CITY
CITY:NZ000007,CITY
CITY:PA000001,CITY
CITY:PA000002,CITY
CITY:PA000003,CITY
CITY:PE000002,CITY
CITY:PE000003,CITY
CITY:PE000004,CITY
CITY:PE000005,CITY
CITY:PE000007,CITY
CITY:PE000009,CITY
CITY:PE000011,CITY
CITY:PE000012,CITY
CITY:PE000014,CITY
CITY:PE000015,CITY
CITY:PE000017,CITY
CITY:PE000018,CITY
CITY:PE000020,CITY
CITY:PE000021,CITY
CITY:PE000022,CITY
CITY:PK000002,CITY
CITY:PK000003,CITY
CITY:PK000004,CITY
CITY:PK000005,CITY
CITY:PK000006,CITY
CITY:PK000007,CITY
CITY:PK000008,CITY
CITY:PL000002,CITY
CITY:PL000007,CITY
CITY:PL000017,CITY
CITY:PL000030,CITY
CITY:PL000034,CITY
CITY:PL000037,CITY
CITY:PL000042,CITY
CITY:PL000044,CITY
CITY:PM000001,CITY
CITY:PM000003,CITY
CITY:PO000001,CITY
CITY:PO000002,CITY
CITY:PO000003,CITY
CITY:PO000004,CITY
CITY:PO000005,CITY
CITY:PO000006,CITY
CITY:PO000007,CITY
CITY:PP000002,CITY
CITY:PU000001,CITY
CITY:QA000001,CITY
CITY:RB000001,CITY
CITY:RE000001,CITY
CITY:RO000002,CITY
CITY:RO000003,CITY
CITY:RO000004,CITY
CITY:RO000005,CITY
CITY:RO000006,CITY
CITY:RO000007,CITY
CITY:RO000009,CITY
CITY:RO000010,CITY
CITY:RO000011,CITY
CITY:RO000012,CITY
CITY:RO000013,CITY
CITY:RO000014,CITY
CITY:RO000015,CITY
CITY:RO000016,CITY
CITY:RO000018,CITY
CITY:RO000020,CITY
CITY:RO000026,CITY
CITY:RO000029,CITY
CITY:RO000032,CITY
CITY:RO000034,CITY
CITY:RO000036,CITY
CITY:RO000037,CITY
CITY:RP000002,CITY
CITY:RQ000001,CITY
CITY:RQ000002,CITY
CITY:RQ000003,CITY
CITY:RS000001,CITY
CITY:RS000002,CITY
CITY:RS000003,CITY
CITY:RS000004,CITY
CITY:RS000005,CITY
CITY:RS000006,CITY
CITY:RS000007,CITY
CITY:RS000008,CITY
CITY:RS000009,CITY
CITY:RS000011,CITY
CITY:RS000012,CITY
CITY:RS000013,CITY
CITY:RS000014,CITY
CITY:RS000015,CITY
CITY:RS000016,CITY
CITY:RS000017,CITY
CITY:RS000018,CITY
CITY:RS000019,CITY
CITY:RS000020,CITY
CITY:RS000021,CITY
CITY:RS000022,CITY
CITY:RS000023,CITY
CITY:RS000024,CITY
CITY:RS000025,CITY
CITY:RS000026,CITY
CITY:RS000027,CITY
CITY:RS000028,CITY
CITY:RS000029,CITY
CITY:RS000030,CITY
CITY:RS000031,CITY
CITY:RS000032,CITY
CITY:RS000033,CITY
CITY:RS000034,CITY
CITY:RS000035,CITY
CITY:RS000036,CITY
CITY:RS000037,CITY
CITY:RS000038,CITY
CITY:RS000039,CITY
CITY:RS000041,CITY
CITY:RS000043,CITY
CITY:RS000044,CITY
CITY:RS000045,CITY
CITY:RS000046,CITY
CITY:RS000047,CITY
CITY:RS000048,CITY
CITY:RS000049,CITY
CITY:RS000050,CITY
CITY:RS000051,CITY
CITY:RS000052,CITY
CITY:RS000053,CITY
CITY:RS000054,CITY
CITY:RS000055,CITY
CITY:RS000056,CITY
CITY:RS000057,CITY
CITY:RS000058,CITY
CITY:RS000059,CITY
CITY:RS000060,CITY
CITY:RS000061,CITY
CITY:RS000062,CITY
CITY:RS000063,CITY
CITY:RS000064,CITY
CITY:RS000065,CITY
CITY:RS000066,CITY
CITY:RS000067,CITY
CITY:RS000068,CITY
CITY:RS000069,CITY
CITY:RS000070,CITY
CITY:RS000071,CITY
CITY:RS000072,CITY
CITY:RS000073,CITY
CITY:RS000074,CITY
CITY:RS000075,CITY
CITY:RS000076,CITY
CITY:RS000077,CITY
CITY:RS000078,CITY
CITY:RS000079,CITY
CITY:RS000080,CITY
CITY:RS000081,CITY
CITY:RW000006,CITY
CITY:SA000001,CITY
CITY:SA000003,CITY
CITY:SA000004,CITY
CITY:SA000005,CITY
CITY:SA000007,CITY
CITY:SA000008,CITY
CITY:SA000009,CITY
CITY:SF000001,CITY
CITY:SF000002,CITY
CITY:SF000003,CITY
CITY:SF000004,CITY
CITY:SF000005,CITY
CITY:SF000006,CITY
CITY:SF000007,CITY
CITY:SF000008,CITY
CITY:SF000009,CITY
CITY:SF000010,CITY
CITY:SF000011,CITY
CITY:SF000012,CITY
CITY:SF000013,CITY
CITY:SG000001,CITY
CITY:SG000002,CITY
CITY:SG000003,CITY
CITY:SG000004,CITY
CITY:SI000001,CITY
CITY:SL000002,CITY
CITY:SN000001,CITY
CITY:SP000001,CITY
CITY:SP000002,CITY
CITY:SP000003,CITY
CITY:SP000005,CITY
CITY:SP000006,CITY
CITY:SP000007,CITY
CITY:SP000009,CITY
CITY:SP000010,CITY
CITY:SP000011,CITY
CITY:SP000012,CITY
CITY:SP000013,CITY
CITY:SP000014,CITY
CITY:SP000015,CITY
CITY:SP000016,CITY
CITY:SP000017,CITY
CITY:SP000018,CITY
CITY:SP000019,CITY
CITY:SP000020,CITY
CITY:SP000021,CITY
CITY:SU000001,CITY
CITY:SU000002,CITY
CITY:SU000003,CITY
CITY:SU000004,CITY
CITY:SU000005,CITY
CITY:SU000006,CITY
CITY:SU000007,CITY
CITY:SW000001,CITY
CITY:SW000002,CITY
CITY:SW000003,CITY
CITY:SW000004,CITY
CITY:SW000005,CITY
CITY:SW000006,CITY
CITY:SW000007,CITY
CITY:SW000008,CITY
CITY:SW000009,CITY
CITY:SW000010,CITY
CITY:SW000011,CITY
CITY:SW000012,CITY
CITY:SW000013,CITY
CITY:SY000001,CITY
CITY:SY000004,CITY
CITY:SY000005,CITY
CITY:SY000006,CITY
CITY:SY000007,CITY
CITY:SY000009,CITY
CITY:SZ000001,CITY
CITY:SZ000003,CITY
CITY:SZ000006,CITY
CITY:SZ000007,CITY
CITY:TH000001,CITY
CITY:TH000003,CITY
CITY:TH000004,CITY
CITY:TH000005,CITY
CITY:TH000006,CITY
CITY:TH000007,CITY
CITY:TH000010,CITY
CITY:TH000011,CITY
CITY:TH000012,CITY
CITY:TH000015,CITY
CITY:TH000016,CITY
CITY:TH000017,CITY
CITY:TH000018,CITY
CITY:TH000019,CITY
CITY:TH000021,CITY
CITY:TH000023,CITY
CITY:TH000024,CITY
CITY:TH000026,CITY
CITY:TH000027,CITY
CITY:TH000028,CITY
CITY:TH000029,CITY
CITY:TH000030,CITY
CITY:TH000031,CITY
CITY:TI000001,CITY
CITY:TI000002,CITY
CITY:TI000003,CITY
CITY:TI000004,CITY
CITY:TO000003,CITY
CITY:TS000002,CITY
CITY:TS000003,CITY
CITY:TS000004,CITY
CITY:TS000005,CITY
CITY:TS000006,CITY
CITY:TS000009,CITY
CITY:TS000012,CITY
CITY:TU000001,CITY
CITY:TU000002,CITY
CITY:TU000003,CITY
CITY:TU000005,CITY
CITY:TU000006,CITY
CITY:TU000008,CITY
CITY:TU000009,CITY
CITY:TU000010,CITY
CITY:TU000011,CITY
CITY:TU000012,CITY
CITY:TU000013,CITY
CITY:TU000014,CITY
CITY:TU000015,CITY
CITY:TU000016,CITY
CITY:TU000017,CITY
CITY:TU000018,CITY
CITY:TU000019,CITY
CITY:TU000020,CITY
CITY:TU000021,CITY
CITY:TU000022,CITY
CITY:TU000024,CITY
CITY:TU000025,CITY
CITY:TU000026,CITY
CITY:TU000027,CITY
CITY:TU000028,CITY
CITY:TU000029,CITY
CITY:TU000030,CITY
CITY:TU000031,CITY
CITY:TU000034,CITY
CITY:TU000036,CITY
CITY:TU000037,CITY
CITY:TU000038,CITY
CITY:TU000041,CITY
CITY:TU000042,CITY
CITY:TU000043,CITY
CITY:TU000044,CITY
CITY:TU000046,CITY
CITY:TU000047,CITY
CITY:TU000048,CITY
CITY:TU000049,CITY
CITY:TU000050,CITY
CITY:TU000051,CITY
CITY:TU000052,CITY
CITY:TU000054,CITY
CITY:TU000055,CITY
CITY:TU000056,CITY
CITY:TU000057,CITY
CITY:TX000001,CITY
CITY:TX000002,CITY
CITY:TX000003,CITY
CITY:TZ000001,CITY
CITY:TZ000002,CITY
CITY:TZ000003,CITY
CITY:TZ000004,CITY
CITY:TZ000005,CITY
CITY:TZ000009,CITY
CITY:TZ000010,CITY
CITY:TZ000011,CITY
CITY:TZ000012,CITY
CITY:TZ000015,CITY
CITY:TZ000017,CITY
CITY:TZ000019,CITY
CITY:UG000001,CITY
CITY:UG000002,CITY
CITY:UG000003,CITY
CITY:UK000001,CITY
CITY:UK000002,CITY
CITY:UK000004,CITY
CITY:UK000005,CITY
CITY:UK000006,CITY
CITY:UK000007,CITY
CITY:UK000008,CITY
CITY:UK000009,CITY
CITY:UK000010,CITY
CITY:UK000011,CITY
CITY:UK000012,CITY
CITY:UP000001,CITY
CITY:UP000002,CITY
CITY:UP000003,CITY
CITY:UP000004,CITY
CITY:UP000005,CITY
CITY:UP000006,CITY
CITY:UP000007,CITY
CITY:UP000008,CITY
CITY:UP000009,CITY
CITY:UP000010,CITY
CITY:UP000011,CITY
CITY:UP000012,CITY
CITY:UP000013,CITY
CITY:UP000014,CITY
CITY:UP000015,CITY
CITY:UP000016,CITY
CITY:UP000017,CITY
CITY:UP000018,CITY
CITY:UP000019,CITY
CITY:UP000020,CITY
CITY:UP000021,CITY
CITY:UP000022,CITY
CITY:UP000023,CITY
CITY:UP000024,CITY
CITY:UP000025,CITY
CITY:US000001,CITY
CITY:US010001,CITY
CITY:US010002,CITY
CITY:US010003,CITY
CITY:US010004,CITY
CITY:US010005,CITY
CITY:US010006,CITY
